                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.88989,                0.74887,                  1.057,                 0.8563,                0.59874,                0.65692,                0.36164,                 1.5036,                0.85658,                 1.4484,             0.00046424,             0.00046424,             0.00046424
                     55,                0.89181,                0.73999,                 1.0612,                0.84185,                0.59861,                 0.6669,                0.37986,                 1.4353,                0.85577,                 1.3569,             0.00045953,             0.00045953,             0.00045953
                     56,                0.89255,                0.74468,                 1.0611,                 0.8349,                0.61023,                0.66711,                0.35742,                 1.5656,                0.86845,                 1.4842,             0.00045482,             0.00045482,             0.00045482
                     57,                0.87896,                0.73436,                 1.0533,                0.86455,                0.60744,                0.66678,                0.37848,                 1.4416,                0.82986,                 1.3906,             0.00045011,             0.00045011,             0.00045011
                     58,                0.87932,                0.73055,                 1.0531,                0.81799,                0.60701,                0.66491,                0.38081,                  1.432,                0.85707,                 1.3939,             0.00044539,             0.00044539,             0.00044539
                     59,                0.87886,                0.72944,                 1.0555,                0.86162,                0.59146,                0.66715,                0.37195,                 1.4759,                 0.8374,                 1.4146,             0.00044068,             0.00044068,             0.00044068
                     60,                0.86713,                0.72289,                 1.0507,                0.87918,                0.59743,                0.67322,                0.37882,                  1.453,                0.82578,                 1.3907,             0.00043597,             0.00043597,             0.00043597
                     61,                0.86814,                0.72098,                 1.0523,                0.83751,                0.61621,                0.66741,                0.36768,                 1.5313,                0.83243,                 1.4549,             0.00043126,             0.00043126,             0.00043126
                     62,                0.86733,                0.71492,                 1.0473,                0.81369,                0.62097,                 0.6725,                0.37524,                 1.4872,                0.83177,                 1.4247,             0.00042654,             0.00042654,             0.00042654
                     63,                0.85866,                0.70967,                 1.0431,                0.84716,                0.59618,                0.67166,                0.38349,                 1.4318,                0.80984,                 1.3862,             0.00042183,             0.00042183,             0.00042183
                     64,                0.85442,                0.70153,                 1.0412,                0.84952,                0.60283,                0.65707,                0.38808,                 1.3932,                 0.8184,                 1.3502,             0.00041712,             0.00041712,             0.00041712
                     65,                0.85763,                 0.7069,                 1.0417,                0.86056,                0.61923,                0.68233,                0.38448,                 1.4695,                0.80845,                 1.4049,             0.00041241,             0.00041241,             0.00041241
                     66,                0.86158,                0.70791,                 1.0468,                0.87235,                0.60228,                0.68188,                 0.3845,                 1.4801,                0.81756,                 1.4143,             0.00040769,             0.00040769,             0.00040769
                     67,                0.84831,                0.69125,                 1.0395,                 0.8452,                0.61538,                0.67126,                0.38829,                 1.4283,                0.79703,                 1.3757,             0.00040298,             0.00040298,             0.00040298
